"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"1","CrediScotia",5.86,0.52,63.99,"2009","Enero","2009-01-31"
"2","Solución Financiera de Crédito",0.09,0.02,3.33,"2009","Enero","2009-01-31"
"3","TFC",2.71,0.07,60.89,"2009","Enero","2009-01-31"
"4","Edyficar",2.93,0.29,54.37,"2009","Enero","2009-01-31"
"5","Total Empresas Financieras",4.23,0.37,60.45,"2009","Enero","2009-01-31"
"6","CrediScotia",7.71,0.51,71.44,"2009","Febrero","2009-02-28"
"7","Solución Financiera de Crédito",0.2,0.02,3.35,"2009","Febrero","2009-02-28"
"8","TFC",3.21,0.07,64.37,"2009","Febrero","2009-02-28"
"9","Edyficar",3.3,0.29,55.6,"2009","Febrero","2009-02-28"
"10","Total Empresas Financieras",5.36,0.36,65.65,"2009","Febrero","2009-02-28"
"11","CrediScotia",7.82,0.47,71.89,"2009","Marzo","2009-03-31"
"12","Solución Financiera de Crédito",0.2,0.02,5.14,"2009","Marzo","2009-03-31"
"13","TFC",3.81,0.07,65.02,"2009","Marzo","2009-03-31"
"14","Edyficar",3.67,0.31,55.75,"2009","Marzo","2009-03-31"
"15","Total Empresas Financieras",5.51,0.34,66.45,"2009","Marzo","2009-03-31"
"16","CrediScotia",7.37,1.14,73.07,"2009","Abril","2009-04-30"
"17","Solución Financiera de Crédito",0.19,0.02,9.53,"2009","Abril","2009-04-30"
"18","TFC",4.27,0.07,66.02,"2009","Abril","2009-04-30"
"19","Edyficar",4.01,0.34,55.98,"2009","Abril","2009-04-30"
"20","Total Empresas Financieras",5.93,0.82,67.77,"2009","Abril","2009-04-30"
"21","CrediScotia",8.36,1.35,67.9,"2009","Mayo","2009-05-31"
"22","Solución Financiera de Crédito",0.19,0.02,8.83,"2009","Mayo","2009-05-31"
"23","TFC",4.99,0.06,58.05,"2009","Mayo","2009-05-31"
"24","Edyficar",3.74,0.38,56.2,"2009","Mayo","2009-05-31"
"25","Total Empresas Financieras",6.54,0.95,64.06,"2009","Mayo","2009-05-31"
"26","CrediScotia",7.5,1.68,65.32,"2009","Junio","2009-06-30"
"27","Solución Financiera de Crédito",0.19,0.02,7.24,"2009","Junio","2009-06-30"
"28","TFC",4.09,0.05,60.48,"2009","Junio","2009-06-30"
"29","Edyficar",4,0.37,56.82,"2009","Junio","2009-06-30"
"30","Total Empresas Financieras",5.98,1.16,62.67,"2009","Junio","2009-06-30"
"31","CrediScotia",6.88,2.09,63.66,"2009","Julio","2009-07-31"
"32","Solución Financiera de Crédito",0.22,0.02,6.98,"2009","Julio","2009-07-31"
"33","TFC",4.17,0.04,59.66,"2009","Julio","2009-07-31"
"34","Edyficar",3.99,0.4,57.63,"2009","Julio","2009-07-31"
"35","Total Empresas Financieras",5.58,1.42,61.67,"2009","Julio","2009-07-31"
"36","CrediScotia",6.03,2.29,62.28,"2009","Agosto","2009-08-31"
"37","Solución Financiera de Crédito",0.35,0.02,7.19,"2009","Agosto","2009-08-31"
"38","TFC",4.06,0.14,58.45,"2009","Agosto","2009-08-31"
"39","Edyficar",4.23,0.44,57.8,"2009","Agosto","2009-08-31"
"40","Total Empresas Financieras",5.09,1.55,60.66,"2009","Agosto","2009-08-31"
"41","CrediScotia",5.21,2.36,62.33,"2009","Septiembre","2009-09-30"
"42","Solución Financiera de Crédito",0.38,0.02,8.53,"2009","Septiembre","2009-09-30"
"43","TFC",4.15,0.19,57.69,"2009","Septiembre","2009-09-30"
"44","Edyficar",4.06,0.46,57.89,"2009","Septiembre","2009-09-30"
"45","Compartamos Financiera",4.73,0.05,59.99,"2009","Septiembre","2009-09-30"
"46","Confianza",4.71,0.55,61.16,"2009","Septiembre","2009-09-30"
"47","Total Empresas Financieras",4.58,1.38,60.69,"2009","Septiembre","2009-09-30"
"48","CrediScotia",5.09,2.46,61.64,"2009","Octubre","2009-10-31"
"49","Solución Financiera de Crédito",0.38,0.02,8.04,"2009","Octubre","2009-10-31"
"50","TFC",4.82,1.57,56.69,"2009","Octubre","2009-10-31"
"51","Edyficar",4.34,0.45,57.97,"2009","Octubre","2009-10-31"
"52","Compartamos Financiera",4.73,0.04,59.32,"2009","Octubre","2009-10-31"
"53","Confianza",5.07,0.53,61.15,"2009","Octubre","2009-10-31"
"54","Total Empresas Financieras",4.65,1.5,60.15,"2009","Octubre","2009-10-31"
"55","CrediScotia",5.37,2.56,60.78,"2009","Noviembre","2009-11-30"
